ID,eta,pt,p,phi,motherPDG,nClusters,trackType,pDca,chi2,chi2MatchMCHMID,chi2MatchMCHMFT,isPrompt
1378058,-3.85559,0.127308,3.00941,-0.252449,211,10,3,5.23668,0.144531,1.02344,-1,1
1378058,-3.54926,0.341704,5.94843,-0.85213,211,10,0,5.23668,2480,1.02344,15.875,1
1385812,-2.98829,0.359267,3.57507,2.07279,211,10,3,82.0426,0.102051,0.589844,-1,0
1385812,-3.51278,0.471672,7.91732,1.90736,211,10,0,82.0426,16.75,0.589844,6.75,0
1401141,-3.5982,0.579554,10.5941,2.56034,211,12,3,57.2951,0.0625,1.22656,-1,1
1401141,-3.41081,0.919726,13.9444,2.56762,211,12,0,57.2951,203,1.22656,57,1
1408318,-3.2845,0.460794,6.15923,-1.02785,321,10,2,101.534,3152,-1,12.625,1
1408318,-2.98694,0.227606,2.26187,0.107061,321,10,4,101.534,0.53125,-1,-1,1
1447636,-4.18189,0.262935,8.61176,2.15222,211,10,3,76.3573,0.150391,0.417969,-1,1
1447636,-3.3386,0.691892,9.76087,2.11321,211,10,0,76.3573,26496,0.417969,96.5,1
1527239,-2.70336,0.428721,3.21471,2.15857,211,10,3,44.2938,0.0795898,0.640625,-1,1
1527239,-3.01289,0.564654,5.75811,2.20365,211,10,0,44.2938,173,0.640625,17.25,1
1586480,-3.64852,0.717589,13.7934,2.39988,211,10,3,68.1887,0.0864258,1.97656,-1,0
1586480,-3.41519,1.24338,18.9339,1.78813,211,10,0,68.1887,11200,1.97656,71.5,0
1634853,4.4918,0.0682485,3.04707,6.17101,211,9,2,128.27,7.66771e+06,-1,62.5,1
1634853,-2.84685,0.319351,2.76101,0.705529,211,9,4,128.27,0.347656,-1,-1,1
1638256,-3.34696,0.328363,4.67117,0.800965,321,10,3,41.9038,0.146484,0.613281,-1,1
1638256,-3.0908,0.638852,7.04021,0.793969,321,10,0,41.9038,6.875,0.613281,2.09375,1
11430,-3.63692,1.15372,21.9212,-1.60056,421,14,3,30.7891,0.271484,1.14844,-1,1
11430,-3.59426,1.34196,24.4347,-1.55491,421,14,0,30.789,9.0625,1.14844,1.125,1
69221,-2.78729,0.320426,2.61123,0.278124,211,10,3,96.1407,0.213867,2.0625,-1,1
69221,-3.5154,0.537533,9.04643,-0.231021,211,10,0,96.1407,134,2.0625,15.125,1
116404,-3.21201,0.57743,7.18009,0.57733,321,10,2,90.4354,24.25,-1,9,1
116404,-2.59036,0.251489,1.68617,0.866974,321,10,4,90.4354,0.488281,-1,-1,1
124684,-3.15247,0.432387,5.06684,-3.06562,321,11,3,91.4885,0.111328,1.52344,-1,1
124684,-2.52359,1.5879,9.96682,-2.78816,321,11,0,91.4885,105472,1.52344,44.5,1
134286,-3.55923,0.235132,4.13414,0.20036,211,9,3,70.6562,0.144531,0.515625,-1,1
134286,-3.33189,0.486692,6.82027,0.990582,211,9,0,70.6562,11.125,0.515625,5.25,1
167670,-3.23253,0.350925,4.45379,-1.39157,321,10,3,115.657,0.0742188,0.535156,-1,1
167670,-3.31749,0.553364,7.64395,-0.570827,321,10,0,115.657,27,0.535156,16.25,1
222017,-3.49233,0.341561,5.61748,0.956187,130,11,2,44.9855,864,-1,26.875,1
222017,-2.9848,0.222391,2.20535,0.156486,130,11,4,44.9855,0.238281,-1,-1,1
242959,-3.30961,0.499939,6.85192,2.28458,211,10,3,34.4266,0.147461,1.3125,-1,1
241316,-2.92002,0.953667,8.86704,2.47353,321,11,3,70.9478,0.223633,0.435547,-1,1
242959,-3.19458,0.759855,9.28576,2.4453,211,10,0,34.4266,12.875,1.3125,5.1875,1
241316,-3.08253,1.03953,11.3617,2.65195,321,11,0,70.9478,65.5,0.435547,30.625,1
261768,-3.55049,0.290826,5.06899,2.33268,321,9,3,11.7253,0.150391,0.113281,-1,0
261768,-3.3913,0.501561,7.45777,2.31055,321,9,0,11.7253,17.75,0.113281,12.9375,0
316897,inf,0.000487626,8.50706e+37,-285.042,211,9,2,43.124,1.23208e+07,-1,6.03125,1
316897,-4.68661,0.0320581,1.73906,-2.25193,211,9,4,43.124,0.451172,-1,-1,1
367188,-4.04317,0.104897,2.99083,-2.66225,211,10,3,27.8567,0.941406,2.53125,-1,0
367188,-3.65369,0.29679,5.73438,-3.06319,211,10,0,27.8567,8.125,2.53125,7.3125,0
429286,-3.68726,0.166843,3.33355,-2.21041,321,13,2,22.6036,676,-1,11.4375,1
429286,-3.60039,0.0976261,1.78849,-2.4282,321,13,4,22.6036,0.402344,-1,-1,1
493004,-3.52504,0.484906,8.23969,0.499875,211,10,3,109.878,0.138672,0.470703,-1,1
493004,-3.53713,0.660752,11.364,1.18886,211,10,0,109.878,204,0.470703,118,1
494248,-3.12277,0.294825,3.35409,2.26739,211,8,3,45.8631,0.205078,1.97656,-1,0
494248,-3.13588,0.498176,5.74205,1.75195,211,8,0,45.8631,52.5,1.97656,8,0
540807,-3.14752,0.761763,8.88263,-2.63406,321,10,3,69.4159,0.0698242,0.484375,-1,1
540807,-3.0488,1.0757,11.3687,-2.93399,321,10,0,69.4159,19.75,0.484375,18.5,1
589609,-3.5646,0.186521,3.29709,-2.47976,321,10,3,24.1797,0.113281,1.11719,-1,1
589609,-2.86187,0.527835,4.63211,-2.61673,321,10,0,24.1797,3280,1.11719,18.375,1
683974,-3.35749,0.25118,3.61095,-2.47228,211,10,3,68.4442,0.136719,2.01562,-1,1
683974,-2.83743,1.04597,8.95887,-2.08217,211,10,0,68.4442,5184,2.01562,5.53125,1
691958,-2.97261,0.189929,1.86074,-0.434265,211,11,3,23.7837,0.277344,12.1875,-1,1
691958,-3.10096,0.365976,4.07411,0.17879,211,11,0,23.7837,9.6875,12.1875,6.34375,1
746972,-3.04789,0.412072,4.35115,-0.7777,211,10,2,70.115,332,-1,18.125,1
746972,-2.27233,0.272232,1.33462,-0.807208,211,10,4,70.115,0.324219,-1,-1,1
761514,-2.99905,0.296061,2.97782,2.39352,211,10,3,50.4239,0.102051,0.275391,-1,1
761514,-3.1206,0.462668,5.25221,2.13408,211,10,0,50.4239,49.75,0.275391,17.125,1
771697,-3.37011,0.605559,8.81577,2.9211,321,10,3,37.5748,0.0854492,0.703125,-1,1
771697,-3.37411,0.772029,11.2842,3.08051,321,10,0,37.5748,17.75,0.703125,7.4375,1
778188,-3.23108,0.248544,3.14987,-0.870752,211,11,2,16.1088,1224,-1,50.5,1
778188,-3.22993,0.137468,1.74017,-0.704951,211,11,4,16.1088,0.302734,-1,-1,1
829002,-3.16448,0.303542,3.59982,-0.709457,211,10,3,65.5383,0.0588379,1.30469,-1,1
829002,-3.32879,0.442094,6.17613,-0.457358,211,10,0,65.5383,14.25,1.30469,5.5625,1
829076,-2.71635,0.481826,3.65972,-1.96262,321,10,2,31.884,1000,-1,2.98438,1
829076,-2.94671,0.142035,1.35613,-2.55562,321,10,4,31.884,0.566406,-1,-1,1
974936,-3.33076,0.361486,5.05996,-0.401832,211,11,3,116.364,0.132812,0.925781,-1,1
974936,-3.44676,0.62401,9.80646,-0.31177,211,11,0,116.364,1592,0.925781,25.75,1
1009963,-3.78929,0.423973,9.37985,-2.69397,321,11,3,77.9841,0.310547,0.464844,-1,1
1009963,-3.31332,1.00037,13.7614,-2.89592,321,11,0,77.9841,24576,0.464844,73.5,1
1029768,-3.52817,0.194215,3.3105,-3.02241,211,10,3,68.001,0.171875,0.390625,-1,0
1029768,-3.54656,0.463926,8.05437,-2.01333,211,10,0,68.001,4448,0.390625,103,0
1037072,-3.42615,0.705599,10.8629,1.12988,211,10,2,76.1993,16.5,-1,9.1875,0
1037072,-3.47581,0.520358,8.41805,1.43592,211,10,4,76.1993,0.164062,-1,-1,0
1074163,-3.57498,0.485193,8.66605,0.597347,211,10,3,94.7614,0.0776367,0.0722656,-1,1
1074163,-3.59144,0.89933,16.3291,1.0403,211,10,0,94.7614,7168,0.0722656,50.5,1
1169290,-3.07699,0.454354,4.93864,-0.211545,211,10,3,86.6941,0.134766,1.91406,-1,1
1169290,-3.19242,0.742567,9.05499,-0.316647,211,10,0,86.6941,7456,1.91406,35,1
1206892,-3.49565,0.381165,6.28961,2.94093,211,10,3,72.8595,0.136719,2.09375,-1,0
1206892,-3.4772,0.82456,13.3577,2.32639,211,10,0,72.8595,326,2.09375,23,0
1224921,-3.48539,0.832774,13.6016,2.00222,211,12,3,52.9257,0.101562,0.429688,-1,1
1224921,-3.48578,0.978734,15.9917,2.17611,211,12,0,52.9257,56.5,0.429688,3.21875,1
1283421,-2.76846,0.410585,3.28404,1.23839,211,8,2,8.4138,125.5,-1,5.9375,1
1283421,-2.90324,0.131392,1.20144,1.18617,211,8,4,8.4138,0.90625,-1,-1,1
103561,-3.22804,0.33538,4.23748,0.748912,211,11,3,37.3853,0.081543,0.199219,-1,1
103561,-3.40733,0.418173,6.31811,0.74881,211,11,0,37.3853,226,0.199219,8.6875,1
105430,-3.26616,0.58435,7.66919,1.16742,321,10,3,224.883,0.18457,0.460938,-1,1
105430,-3.3776,0.799532,11.7269,0.908559,321,10,0,224.883,3264,0.460938,39.5,1
115611,-3.10621,0.546388,6.11438,-0.812627,211,10,3,187.419,0.0683594,1,-1,1
115611,-3.34298,1.07662,15.255,-0.981062,211,10,0,187.419,4640,1,45,1
182157,-3.38541,0.455972,6.74014,1.05392,130,11,3,148.392,0.142578,1.10938,-1,0
182157,-3.75523,0.611435,13.0748,1.61028,130,11,0,148.392,85,1.10938,48,0
187430,-2.57272,0.343135,2.26088,2.77237,211,10,3,47.2036,0.28125,1.95312,-1,1
187430,-2.84232,0.513508,4.41971,2.31768,211,10,0,47.2036,64,1.95312,10.75,1
200098,-3.21782,0.22466,2.80979,0.18854,321,10,3,34.5306,0.453125,1.3125,-1,1
200098,-2.72833,0.685867,5.27179,-0.0618634,321,10,0,34.5306,128,1.3125,4.25,1
206500,-3.26664,0.19555,2.56771,3.08951,211,12,3,39.7029,0.0629883,2.3125,-1,1
206500,-2.44706,0.188028,1.0944,-2.97931,211,12,0,39.7029,164864,2.3125,21.75,1
239781,-3.93072,0.261274,6.65769,-2.64974,211,10,3,110.688,0.0673828,0.447266,-1,1
239781,8.39462,0.121861,269.509,3.68639,211,10,0,110.688,2.24461e+06,0.447266,33.5,1
252178,-2.90417,0.234084,2.14244,0.321919,211,11,3,44.2051,0.451172,0.753906,-1,1
252178,-3.30586,0.349846,4.77692,0.772102,211,11,0,44.2051,134,0.753906,7.15625,1
280960,-3.50864,0.695357,11.6239,-0.538157,321,11,2,60.0408,13824,-1,9.5625,1
280960,-3.4992,0.123567,2.04621,-0.576434,321,11,4,60.0408,0.371094,-1,-1,1
316443,-3.2744,0.177654,2.35084,2.40362,211,10,3,47.5757,0.367188,0.0524902,-1,1
316443,-3.52179,0.27072,4.58526,2.29866,211,10,0,47.5757,133,0.0524902,11.5,1
333813,-2.57517,1.4919,9.85371,3.10445,321,10,3,29.8837,0.149414,0.333984,-1,1
333813,-2.55868,1.90445,12.3753,3.05467,321,10,0,29.8837,15.875,0.333984,3.6875,1
355730,-3.59074,1.57933,28.6559,-1.93168,211,10,2,82.9115,237,-1,150,1
355730,-3.74889,1.12304,23.863,-1.97507,211,10,4,82.9115,0.0495605,-1,-1,1
362583,-3.22059,0.538593,6.7547,-1.3466,211,12,3,126.848,0.0634766,1.14844,-1,1
362583,-3.51042,0.747377,12.5157,-1.25168,211,12,0,126.848,75,1.14844,28.25,1
