ID,eta,pt,p,phi,motherPDG,nClusters,pDca,chi2,chi2MatchMCHMID,chi2MatchMCHMFT,isPrompt
973994,-3.3748,0.222899,3.26019,-2.84933,211,10,10.3999,0.357422,1.02344,-1,1
1007389,-3.39536,0.431658,6.44445,0.432446,211,10,58.2595,0.0708008,1.83594,-1,1
1079950,-3.53152,0.267276,4.57109,-2.07566,321,9,42.4182,0.125,0.90625,-1,1
1157745,-2.97505,0.25029,2.45805,-0.778136,211,10,21.7993,0.15332,0.734375,-1,0
1169025,-3.89114,0.877276,21.4876,-0.541257,321,10,34.5261,0.0771484,2.0625,-1,1
1180480,-3.09014,0.810367,8.92441,1.51724,321,10,66.9164,0.0256348,0.0986328,-1,1
1212814,-3.13389,0.21672,2.49299,-2.45646,211,10,69.9816,0.550781,1.10156,-1,1
1225391,-2.36456,0.405946,2.17859,1.00032,211,10,103.628,0.333984,1.72656,-1,1
149249,-3.58829,0.24114,4.36461,1.98565,211,10,91.3285,4.75,0.212891,-1,1
258687,-3.42019,1.48783,22.7697,0.806819,211,10,63.4699,0.0478516,0.765625,-1,1
300601,-3.79586,0.386051,8.59719,-0.949284,321,10,32.6651,0.043457,0.160156,-1,1
306130,-2.72056,0.729605,5.56495,2.00908,211,10,215.021,0.180664,0.503906,-1,1
351247,-2.87043,0.376956,3.33629,0.737364,211,10,28.5436,0.214844,0.953125,-1,1
361112,-2.46006,0.313246,1.84674,-0.793565,321,10,48.2238,0.328125,2.0625,-1,1
496184,-3.21614,0.475836,5.94126,1.501,321,11,75.4912,0.125977,2.17188,-1,1
601240,-3.11788,0.746424,8.45053,1.41864,211,10,99.0273,0.183594,1.46875,-1,1
755215,-4.05428,0.250092,7.21027,1.2797,211,10,93.7019,0.133789,1.09375,-1,1
789369,-4.01405,0.317102,8.78193,1.98682,211,9,55.5355,0.107422,0.558594,-1,1
807519,-3.812,0.175824,3.97917,-0.893509,211,11,96.6133,0.392578,0.933594,-1,1
839375,-3.51395,0.24231,4.07205,-1.49893,211,10,135.703,0.394531,0.484375,-1,1
868269,-2.97022,0.345043,3.37235,-0.756795,321,11,81.1039,0.123047,2.39062,-1,1
901445,-2.92081,3.09424,28.7923,2.58015,511,11,33.2529,0.057373,0.625,-1,1
952466,-3.50844,0.486808,8.13605,-2.36189,211,10,35.0365,0.142578,0.558594,-1,1
976356,-2.8071,0.625917,5.20207,-2.28914,211,12,189.477,0.257812,1.125,-1,1
1061913,-2.87076,0.438122,3.87893,0.266482,211,10,171.564,0.101074,0.519531,-1,1
1098260,-3.12296,0.195887,2.22895,0.372655,211,11,38.825,0.173828,0.0267334,-1,1
1104578,-3.90183,0.490421,12.1411,2.77529,211,9,17.0543,0.182617,0.296875,-1,0
